symbol,style,weight
VXUS,Small Value,0.015200
VXUS,Medium Value,0.050200
VXUS,Large Value,0.209600
VXUS,Small Blend,0.018000
VXUS,Medium Blend,0.068400
VXUS,Large Blend,0.357500
VXUS,Small Growth,0.009700
VXUS,Medium Growth,0.051000
VXUS,Large Growth,0.220300
VTI,Small Value,0.029300
VTI,Medium Value,0.054400
VTI,Large Value,0.248000
VTI,Small Blend,0.036800
VTI,Medium Blend,0.087300
VTI,Large Blend,0.254500
VTI,Small Growth,0.021200
VTI,Medium Growth,0.054000
VTI,Large Growth,0.214600
AVUV,Small Value,0.564300
AVUV,Medium Value,0.002700
AVUV,Small Blend,0.317600
AVUV,Medium Blend,0.005100
AVUV,Small Growth,0.100000
AVUV,Medium Growth,0.010300
SCHB,Small Value,0.028400
SCHB,Medium Value,0.055500
SCHB,Large Value,0.245300
SCHB,Small Blend,0.036500
SCHB,Medium Blend,0.088600
SCHB,Large Blend,0.254200
SCHB,Small Growth,0.020300
SCHB,Medium Growth,0.054400
SCHB,Large Growth,0.216700
AA,Small Value,1.000000
BABA,Large Blend,1.000000
GOOG,Large Value,1.000000
AMZN,Large Blend,1.000000
APH,Large Growth,1.000000
AAPL,Large Blend,1.000000
BRKB,Large Value,1.000000
CVX,Large Value,1.000000
CSCO,Large Blend,1.000000
XOM,Large Value,1.000000
META,Large Value,1.000000
GS,Large Value,1.000000
ISRG,Large Blend,1.000000
LVS,Medium Blend,1.000000
MA,Large Blend,1.000000
MSFT,Large Blend,1.000000
NFLX,Large Blend,1.000000
NVDA,Large Growth,1.000000
ORCL,Large Blend,1.000000
SPCX,Large Growth,1.000000
UNH,Large Value,1.000000
V,Large Blend,1.000000
WMT,Large Blend,1.000000
OMR5,Small Value,0.003500
OMR5,Medium Value,0.056800
OMR5,Large Value,0.277700
OMR5,Small Blend,0.006700
OMR5,Medium Blend,0.090600
OMR5,Large Blend,0.284600
OMR5,Small Growth,0.000700
OMR5,Medium Growth,0.040300
OMR5,Large Growth,0.239100
OMR6,Small Value,0.003500
OMR6,Medium Value,0.007800
OMR6,Large Value,0.159000
OMR6,Small Blend,0.011200
OMR6,Medium Blend,0.043800
OMR6,Large Blend,0.384000
OMR6,Small Growth,0.009900
OMR6,Medium Growth,0.070800
OMR6,Large Growth,0.309900
OMS1,Small Value,0.025500
OMS1,Medium Value,0.077600
OMS1,Large Value,0.281200
OMS1,Small Blend,0.017900
OMS1,Medium Blend,0.058500
OMS1,Large Blend,0.258900
OMS1,Small Growth,0.011100
OMS1,Medium Growth,0.049300
OMS1,Large Growth,0.220100
OMS4,Small Value,0.026600
OMS4,Medium Value,0.068800
OMS4,Large Value,0.402900
OMS4,Small Blend,0.017200
OMS4,Medium Blend,0.032900
OMS4,Large Blend,0.303200
OMS4,Small Growth,0.005300
OMS4,Medium Growth,0.015900
OMS4,Large Growth,0.127300
FXAIX,Small Value,0.003700
FXAIX,Medium Value,0.059700
FXAIX,Large Value,0.277900
FXAIX,Small Blend,0.006300
FXAIX,Medium Blend,0.095100
FXAIX,Large Blend,0.291700
FXAIX,Small Growth,0.000600
FXAIX,Medium Growth,0.033900
FXAIX,Large Growth,0.231200
FFSM,Small Value,0.144800
FFSM,Medium Value,0.035100
FFSM,Small Blend,0.325300
FFSM,Medium Blend,0.099000
FFSM,Small Growth,0.182100
FFSM,Medium Growth,0.196400
FFSM,Large Growth,0.017400
FMAG,Large Value,0.095000
FMAG,Medium Blend,0.125800
FMAG,Large Blend,0.335900
FMAG,Medium Growth,0.080100
FMAG,Large Growth,0.363100
FDRR,Small Value,0.038100
FDRR,Medium Value,0.090500
FDRR,Large Value,0.371800
FDRR,Small Blend,0.003100
FDRR,Medium Blend,0.059400
FDRR,Large Blend,0.274900
FDRR,Small Growth,0.001000
FDRR,Medium Growth,0.008300
FDRR,Large Growth,0.152900
SPY,Small Value,0.003500
SPY,Medium Value,0.056900
SPY,Large Value,0.277800
SPY,Small Blend,0.006700
SPY,Medium Blend,0.090600
SPY,Large Blend,0.284600
SPY,Small Growth,0.000700
SPY,Medium Growth,0.040300
SPY,Large Growth,0.239000
DB,Large Blend,1.000000
TTE,Large Value,1.000000
ANFGF,Large Growth,1.000000
AZN,Large Blend,1.000000
CCEP,Large Blend,1.000000
ICLR,Small Value,1.000000
GLNG,Medium Growth,1.000000
UBS,Large Growth,1.000000
LOGI,Medium Blend,1.000000
KYCCF,Large Growth,1.000000
SPOT,Large Growth,1.000000
CLBT,Medium Growth,1.000000
CHKP,Medium Blend,1.000000
ESLT,Large Growth,1.000000
ENLT,Medium Growth,1.000000
GLBE,Small Growth,1.000000
INMD,Small Value,1.000000
FROG,Small Growth,1.000000
MNDY,Small Growth,1.000000
WIX,Small Value,1.000000
AER,Medium Value,1.000000
ASMIY,Large Growth,1.000000
ASML,Large Growth,1.000000
RACE,Medium Growth,1.000000
FER,Large Growth,1.000000
STLA,Large Value,1.000000
IREN,Large Growth,1.000000
IVSBF,Large Growth,1.000000
ABBNY,Large Growth,1.000000
ACSAY,Large Growth,1.000000
AAGIY,Large Blend,1.000000
AIBGY,Large Blend,1.000000
AMKBY,Large Value,1.000000
ASXFY,Medium Blend,1.000000
ADDYY,Large Blend,1.000000
AMIGY,Medium Blend,1.000000
ATEYY,Large Growth,1.000000
AONNY,Large Value,1.000000
AGESY,Medium Value,1.000000
AIQUY,Large Blend,1.000000
EADSY,Large Growth,1.000000
AJNMY,Large Growth,1.000000
AKZOY,Medium Blend,1.000000
ALFVY,Large Blend,1.000000
ALIZY,Large Blend,1.000000
NGLOY,Large Growth,1.000000
BUD,Large Blend,1.000000
ANZGY,Large Value,1.000000
MT,Medium Blend,1.000000
ARGX,Medium Growth,1.000000
AHKSY,Large Value,1.000000
ASCCY,Large Growth,1.000000
ASAZY,Large Blend,1.000000
ARZGY,Large Blend,1.000000
ASBFY,Large Value,1.000000
ATLKY,Large Blend,1.000000
AVVIY,Large Value,1.000000
AXAHY,Large Value,1.000000
BAESY,Large Growth,1.000000
BASFY,Large Value,1.000000
BP,Large Value,1.000000
BNPQY,Large Value,1.000000
BBVA,Large Blend,1.000000
SAN,Large Growth,1.000000
NCBDY,Large Blend,1.000000
BKHYY,Large Value,1.000000
